City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
filingue,14.3521,3.3168,82.78,9,5,10.0,NE,1616958474
akhmim,26.5622,31.745,66.2,24,0,16.11,EG,1616958474
berdigestyakh,62.0989,126.6992,-4.02,100,100,2.75,RU,1616958475
abha,18.2164,42.5053,64.4,72,0,0.74,SA,1616958475
upernavik,72.7868,-56.1549,-16.58,78,31,2.57,GL,1616958357
cherskiy,68.75,161.3,-9.71,92,100,0.31,RU,1616958476
ushuaia,-54.8,-68.3,46.4,61,40,29.93,AR,1616958476
avera,33.194,-82.5271,78.8,53,90,13.8,US,1616958477
punta arenas,-53.15,-70.9167,55.4,41,0,16.11,CL,1616958188
pevek,69.7008,170.3133,-22.4,100,63,0.85,RU,1616958478
kapaa,22.0752,-159.319,73.4,68,20,19.57,US,1616958478
chapais,49.7834,-74.8492,30.2,93,90,12.66,CA,1616958479
kodiak,57.79,-152.4072,37.4,41,75,4.61,US,1616958241
busselton,-33.65,115.3333,55.0,94,0,6.29,AU,1616958323
sao filipe,14.8961,-24.4956,70.38,72,11,15.32,CV,1616958480
haines junction,60.7522,-137.5108,21.2,38,7,12.66,CA,1616958481
avarua,-21.2078,-159.775,80.6,83,75,11.5,CK,1616958350
georgetown,5.4112,100.3354,78.8,94,20,5.03,MY,1616958482
kropotkin,45.4375,40.5756,46.0,70,83,7.76,RU,1616958482
imeni poliny osipenko,52.4201,136.4853,27.14,97,100,7.52,RU,1616958483
westport,41.1415,-73.3579,53.01,100,90,8.05,US,1616958479
puerto ayora,-0.7393,-90.3518,82.4,78,20,11.5,EC,1616958483
rikitea,-23.1203,-134.9692,78.66,74,10,15.19,PF,1616958484
butaritari,3.0707,172.7902,80.92,76,47,11.45,KI,1616958484
cape town,-33.9258,18.4232,69.01,72,0,8.05,ZA,1616958485
rocha,-34.4833,-54.3333,67.78,86,86,6.73,UY,1616958268
palembang,-2.9167,104.7458,75.16,96,65,3.13,ID,1616958486
tuktoyaktuk,69.4541,-133.0374,-18.4,76,75,13.8,CA,1616958333
yellowknife,62.456,-114.3525,24.01,53,75,14.97,CA,1616958487
tambura,5.6,27.4667,80.4,40,62,1.79,SS,1616958466
sakakah,29.9697,40.2064,60.8,14,0,6.91,SA,1616958488
tomatlan,19.9333,-105.25,87.13,34,7,10.74,MX,1616958488
port alfred,-33.5906,26.891,66.29,71,100,18.79,ZA,1616958346
torbay,47.6666,-52.7314,28.99,74,75,11.5,CA,1616958201
bethel,41.3712,-73.414,53.6,94,90,5.75,US,1616958357
new norfolk,-42.7826,147.0587,52.0,59,38,1.99,AU,1616958491
bibiani,6.4635,-2.3194,79.65,67,11,2.06,GH,1616958491
san jeronimo,-11.9472,-75.2829,59.11,61,100,5.37,PE,1616958492
dikson,73.5069,80.5464,-24.34,100,96,6.58,RU,1616958492
windhoek,-22.5594,17.0832,73.4,43,23,3.91,NA,1616958493
longyearbyen,78.2186,15.6401,32.0,74,20,1.14,SJ,1616958493
dwarka,22.2394,68.9678,79.02,73,55,14.38,IN,1616958428
